phrasing,prediction,count,bin,upper,lower,mean_predicted,observed_rate,absolute_gap
composite,raw,15,0,0.2,0.0,0.013333333333333334,0.0,0.013333333333333334
composite,raw,3,2,0.6,0.4,0.48,1.0,0.52
composite,raw,4,3,0.8,0.6,0.6725,1.0,0.3275
composite,raw,8,4,1.0,0.8,0.90375,1.0,0.09624999999999995
composite,calibrated,15,0,0.2,0.0,0.0,0.0,0.0
composite,calibrated,15,4,1.0,0.8,1.0,1.0,0.0
prime,raw,15,0,0.2,0.0,0.036666666666666674,0.0,0.036666666666666674
prime,raw,4,2,0.6,0.4,0.5275000000000001,1.0,0.4724999999999999
prime,raw,9,3,0.8,0.6,0.6722222222222222,1.0,0.32777777777777783
prime,raw,2,4,1.0,0.8,0.815,1.0,0.18500000000000005
prime,calibrated,15,0,0.2,0.0,0.0,0.0,0.0
prime,calibrated,15,4,1.0,0.8,1.0,1.0,0.0
divisors,raw,15,0,0.2,0.0,0.013333333333333332,0.0,0.013333333333333332
divisors,raw,2,1,0.4,0.2,0.355,1.0,0.645
divisors,raw,4,2,0.6,0.4,0.49,1.0,0.51
divisors,raw,8,3,0.8,0.6,0.6912500000000001,1.0,0.30874999999999986
divisors,raw,1,4,1.0,0.8,0.83,1.0,0.17000000000000004
divisors,calibrated,15,0,0.2,0.0,0.0,0.0,0.0
divisors,calibrated,15,4,1.0,0.8,1.0,1.0,0.0
pooled,raw,45,0,0.2,0.0,0.02111111111111112,0.0,0.02111111111111112
pooled,raw,2,1,0.4,0.2,0.355,1.0,0.645
pooled,raw,11,2,0.6,0.4,0.5009090909090909,1.0,0.49909090909090914
pooled,raw,21,3,0.8,0.6,0.6795238095238094,1.0,0.3204761904761906
pooled,raw,11,4,1.0,0.8,0.8809090909090909,1.0,0.11909090909090914
pooled,calibrated,45,0,0.2,0.0,0.0,0.0,0.0
pooled,calibrated,2,2,0.6,0.4,0.5,1.0,0.5
pooled,calibrated,43,4,1.0,0.8,1.0,1.0,0.0
